ticker,date,pattern,setup_score,entry,result_pct,exit_reason,hold_days,bande
LOGI,2026-05-04,pocket_pivot,40.0,101.5,0.0366,horizon,10,35-40
LOGI,2026-05-22,pocket_pivot,35.1,112.63,0.082,horizon,4,35-40
CRWD,2024-11-21,pocket_pivot,35.3,357.55,0.0227,horizon,10,35-40
CRWD,2025-06-03,pocket_pivot,36.9,488.76,-0.06,stop,1,35-40
CRWD,2025-12-03,pocket_pivot,37.0,524.17,-0.06,stop,8,35-40
QLYS,2025-01-27,pocket_pivot,35.5,146.92,-0.06,stop,5,35-40
OPTU,2024-11-01,pocket_pivot,40.7,2.64,-0.06,stop,2,40-45
OPTU,2025-01-06,pocket_pivot,36.8,2.62,-0.06,stop,1,35-40
OPTU,2025-05-14,pocket_pivot,40.1,2.8,-0.06,stop,2,40-45
OPTU,2025-07-18,pocket_pivot,37.7,2.79,-0.06,stop,6,35-40
P,2025-08-27,pocket_pivot,37.9,60.86,0.12,objectif,1,35-40
P,2026-05-07,pocket_pivot,35.0,76.05,0.12,objectif,2,30-35
P,2026-05-26,pocket_pivot,35.0,88.35,-0.06,stop,2,30-35
OUST,2025-10-15,double_bottom,37.1,36.83,-0.06,stop,1,35-40
OUST,2026-05-04,pocket_pivot,38.6,28.15,-0.06,stop,2,35-40
OUST,2026-05-06,pocket_pivot,38.9,29.4,-0.06,stop,1,35-40
BMRN,2025-02-20,pocket_pivot,39.8,68.73,0.0361,horizon,10,35-40
BMRN,2026-02-10,pocket_pivot,36.9,59.66,0.0298,horizon,10,35-40
EFOR,2024-11-06,pocket_pivot,36.6,100.79,-0.06,stop,6,35-40
CRM,2024-09-19,pocket_pivot,36.8,265.99,0.0561,horizon,10,35-40
CRM,2024-11-06,pocket_pivot,35.3,306.9,0.12,objectif,3,35-40
CRM,2024-11-11,double_bottom,36.7,341.73,-0.06,stop,5,35-40
CRM,2025-01-27,pocket_pivot,39.0,347.1,-0.06,stop,9,35-40
BL,2024-09-30,pocket_pivot,35.3,55.14,0.0229,horizon,10,35-40
BL,2024-11-06,pocket_pivot,37.9,58.63,-0.0017,horizon,10,35-40
BL,2025-01-28,pocket_pivot,36.6,64.9,-0.0231,horizon,10,35-40
BL,2025-05-30,pocket_pivot,36.4,55.93,-0.0334,horizon,10,35-40
BL,2025-06-27,pocket_pivot,35.5,56.64,-0.0335,horizon,10,35-40
CRNC,2024-10-07,double_bottom,41.7,3.8,-0.06,stop,1,40-45
CRNC,2025-10-14,pocket_pivot,36.5,13.07,-0.06,stop,1,35-40
AIOT,2024-09-18,pocket_pivot,40.7,5.0,-0.06,stop,3,40-45
AIOT,2024-11-11,pocket_pivot,35.5,5.49,-0.06,stop,1,35-40
BRKR,2025-12-22,pocket_pivot,35.6,48.77,0.0869,horizon,10,35-40
BLZE,2024-10-09,pocket_pivot,35.3,6.77,0.0694,horizon,10,35-40
BLZE,2025-08-22,pocket_pivot,35.7,8.22,0.12,objectif,10,35-40
HPQ,2024-11-25,pocket_pivot,37.9,39.3,-0.06,stop,2,35-40
HPQ,2025-08-28,pocket_pivot,36.6,28.35,-0.0134,horizon,10,35-40
HPQ,2025-10-14,pocket_pivot,35.5,28.54,-0.0165,horizon,10,35-40
HPQ,2026-04-21,double_bottom,35.8,21.09,-0.06,stop,3,35-40
AERG,2025-05-14,double_bottom,38.7,1.08,-0.06,stop,1,35-40
AERG,2025-07-14,pocket_pivot,35.5,2.35,-0.06,stop,2,35-40
